VARIABLE,VALOR_ORIGINAL,ETIQUETA_LIMPIA,CODIGO,TIPO_CODIGO
SECTOR,PRIVADO,Privado,1,Código nominal
SECTOR,OFICIAL,Oficial,2,Código nominal
SECTOR,COOPERATIVA,Cooperativa,3,Código nominal
SECTOR,MUNICIPAL,Municipal,4,Código nominal
AREA,URBANA,Urbana,1,Código nominal
AREA,RURAL,Rural,2,Código nominal
STATUS,ABIERTA,Abierta,1,Código nominal
STATUS,CERRADA TEMPORALMENTE,Cerrada temporalmente,2,Código nominal
STATUS,CERRADA DEFINITIVAMENTE,Cerrada definitivamente,3,Código nominal
STATUS,TEMPORAL TITULOS,Temporal por títulos,4,Código nominal
STATUS,TEMPORAL NOMBRAMIENTO,Temporal por nombramiento,5,Código nominal
MODALIDAD,MONOLINGUE,Monolingüe,1,Código nominal
MODALIDAD,BILINGUE,Bilingüe,2,Código nominal
JORNADA,MATUTINA,Matutina,1,Código nominal
JORNADA,VESPERTINA,Vespertina,2,Código nominal
JORNADA,NOCTURNA,Nocturna,3,Código nominal
JORNADA,DOBLE,Doble,4,Código nominal
JORNADA,INTERMEDIA,Intermedia,5,Código nominal
PLAN,DIARIO(REGULAR),Diario (regular),1,Código nominal
PLAN,FIN DE SEMANA,Fin de Semana,2,Código nominal
PLAN,SEMIPRESENCIAL (FIN DE SEMANA),Semipresencial (Fin de Semana),3,Código nominal
PLAN,SEMIPRESENCIAL (UN DÍA A LA SEMANA),Semipresencial (Un Día a la Semana),4,Código nominal
PLAN,A DISTANCIA,A Distancia,5,Código nominal
PLAN,SEMIPRESENCIAL,Semipresencial,6,Código nominal
PLAN,SEMIPRESENCIAL (DOS DÍAS A LA SEMANA),Semipresencial (Dos Días a la Semana),7,Código nominal
PLAN,VIRTUAL A DISTANCIA,Virtual a Distancia,8,Código nominal
PLAN,SABATINO,Sabatino,9,Código nominal
PLAN,DOMINICAL,Dominical,10,Código nominal
PLAN,MIXTO,Mixto,11,Código nominal
PLAN,IRREGULAR,Irregular,12,Código nominal
PLAN,INTERCALADO,Intercalado,13,Código nominal
DEPARTAMENTO_ANALISIS,Guatemala,Guatemala,01,Código territorial
DEPARTAMENTO_ANALISIS,El Progreso,El Progreso,02,Código territorial
DEPARTAMENTO_ANALISIS,Sacatepéquez,Sacatepéquez,03,Código territorial
DEPARTAMENTO_ANALISIS,Chimaltenango,Chimaltenango,04,Código territorial
DEPARTAMENTO_ANALISIS,Escuintla,Escuintla,05,Código territorial
DEPARTAMENTO_ANALISIS,Santa Rosa,Santa Rosa,06,Código territorial
DEPARTAMENTO_ANALISIS,Sololá,Sololá,07,Código territorial
DEPARTAMENTO_ANALISIS,Totonicapán,Totonicapán,08,Código territorial
DEPARTAMENTO_ANALISIS,Quetzaltenango,Quetzaltenango,09,Código territorial
DEPARTAMENTO_ANALISIS,Suchitepéquez,Suchitepéquez,10,Código territorial
DEPARTAMENTO_ANALISIS,Retalhuleu,Retalhuleu,11,Código territorial
DEPARTAMENTO_ANALISIS,San Marcos,San Marcos,12,Código territorial
DEPARTAMENTO_ANALISIS,Huehuetenango,Huehuetenango,13,Código territorial
DEPARTAMENTO_ANALISIS,Quiché,Quiché,14,Código territorial
DEPARTAMENTO_ANALISIS,Baja Verapaz,Baja Verapaz,15,Código territorial
DEPARTAMENTO_ANALISIS,Alta Verapaz,Alta Verapaz,16,Código territorial
DEPARTAMENTO_ANALISIS,Petén,Petén,17,Código territorial
DEPARTAMENTO_ANALISIS,Izabal,Izabal,18,Código territorial
DEPARTAMENTO_ANALISIS,Zacapa,Zacapa,19,Código territorial
DEPARTAMENTO_ANALISIS,Chiquimula,Chiquimula,20,Código territorial
DEPARTAMENTO_ANALISIS,Jalapa,Jalapa,21,Código territorial
DEPARTAMENTO_ANALISIS,Jutiapa,Jutiapa,22,Código territorial
DEPARTAMENTAL,ALTA VERAPAZ,Alta Verapaz,1,Código nominal
DEPARTAMENTAL,BAJA VERAPAZ,Baja Verapaz,2,Código nominal
DEPARTAMENTAL,CHIMALTENANGO,Chimaltenango,3,Código nominal
DEPARTAMENTAL,CHIQUIMULA,Chiquimula,4,Código nominal
DEPARTAMENTAL,EL PROGRESO,El Progreso,5,Código nominal
DEPARTAMENTAL,ESCUINTLA,Escuintla,6,Código nominal
DEPARTAMENTAL,GUATEMALA NORTE,Guatemala Norte,7,Código nominal
DEPARTAMENTAL,GUATEMALA OCCIDENTE,Guatemala Occidente,8,Código nominal
DEPARTAMENTAL,GUATEMALA ORIENTE,Guatemala Oriente,9,Código nominal
DEPARTAMENTAL,GUATEMALA SUR,Guatemala Sur,10,Código nominal
DEPARTAMENTAL,HUEHUETENANGO,Huehuetenango,11,Código nominal
DEPARTAMENTAL,IZABAL,Izabal,12,Código nominal
DEPARTAMENTAL,JALAPA,Jalapa,13,Código nominal
DEPARTAMENTAL,JUTIAPA,Jutiapa,14,Código nominal
DEPARTAMENTAL,PETÉN,Petén,15,Código nominal
DEPARTAMENTAL,QUETZALTENANGO,Quetzaltenango,16,Código nominal
DEPARTAMENTAL,QUICHÉ,Quiché,17,Código nominal
DEPARTAMENTAL,QUICHÉ NORTE,Quiché Norte,18,Código nominal
DEPARTAMENTAL,RETALHULEU,Retalhuleu,19,Código nominal
DEPARTAMENTAL,SACATEPÉQUEZ,Sacatepéquez,20,Código nominal
DEPARTAMENTAL,SAN MARCOS,San Marcos,21,Código nominal
DEPARTAMENTAL,SANTA ROSA,Santa Rosa,22,Código nominal
DEPARTAMENTAL,SOLOLÁ,Sololá,23,Código nominal
DEPARTAMENTAL,SUCHITEPÉQUEZ,Suchitepéquez,24,Código nominal
DEPARTAMENTAL,TOTONICAPÁN,Totonicapán,25,Código nominal
DEPARTAMENTAL,ZACAPA,Zacapa,26,Código nominal
